%# iteration evaluations sigma axisratio fitness_of(bestever best median worst) mindii idxminSD minSD idxmaxSD maxSD (randomSeed=1257966342696, Wed Nov 11 13:05:42 CST 2009)

1 10 0.8038814280744134 1.0 20201.4285 20201.4285 23567.8735 29462.3378 1.0 6 0.857310255083579 5 0.7916490625307323
2 20 0.8292466708514119 1.1247662622966366 19016.7806 19016.7806 21582.7819 25265.807 0.9836344012096948 6 0.897035525947527 5 0.8142757607767291
3 30 0.9150419947125896 1.181440034120962 18251.8269 18251.8269 19659.7463 22318.392 0.9675371865494214 6 1.0149766579649073 9 0.890579717474914
4 40 1.0378035000211716 1.2554168093770897 17583.5485 17583.5485 19597.1128 22778.7063 0.9524529636221096 6 1.1737064496692453 9 0.9964353721542473
5 50 0.9900221052136672 1.3376545555475081 17583.5485 18778.4147 19531.3569 22834.8896 0.9419695037079373 6 1.1119212207324258 9 0.9428987653110081
6 60 0.9210664452807982 1.3774610408843477 17583.5485 18831.0436 19884.6632 24594.0323 0.9275694226899981 6 1.0400543648842513 9 0.8712295367055353
7 70 0.8590999452754661 1.3741728673777858 17583.5485 17777.7739 19724.5015 29163.6849 0.9179421820467928 6 0.9786393233345694 9 0.803903958453776
8 80 0.878347621353118 1.4122252571717682 17583.5485 18458.7526 18871.6315 19968.2271 0.9058547787483596 6 0.9931627123785188 9 0.8125566542523782
9 90 0.8547389926163319 1.4460457796930601 17583.5485 18139.0129 18699.9614 19377.8515 0.8929692619805863 6 0.953870576967342 9 0.7803290979033424
10 100 0.8251427817099093 1.4710434839111268 17583.5485 18109.9768 18449.5069 19573.8655 0.8854884565493637 6 0.9320818215515726 9 0.7448702589043819
11 110 0.7898171464769389 1.4866871268120172 17583.5485 17867.9774 18877.9647 20939.9826 0.8744677212554445 6 0.8863798259923105 9 0.7085416373138004
12 120 0.7484168457791933 1.5036200403301407 17583.5485 18032.2481 18673.4395 19796.3722 0.8655374874146837 4 0.8354852442652457 9 0.6661872047576411
13 130 0.6924437623377271 1.5304943028182425 17583.5485 17911.5093 18337.5833 18943.2681 0.8527734239455137 6 0.7676015371080427 9 0.6112515447115486
14 140 0.6370628698179944 1.5595104118965133 17583.5485 17764.6646 18635.4433 19179.2905 0.8422159351556513 6 0.7100806408941832 9 0.5594112763318525
15 150 0.6429797403676178 1.5932702776355316 17583.5485 17810.5982 18135.404 18705.2754 0.8307318045006693 4 0.7362125576664831 9 0.563405700821297
16 160 0.6114947389430718 1.6465263965980022 17583.5485 17761.9393 18015.5471 19167.3444 0.8207425330704221 4 0.6948168021745831 9 0.5300744250039416
17 170 0.6111007413226449 1.652041173540124 17493.2778 17493.2778 18064.7283 18549.2841 0.8131455266305256 4 0.7038562145938226 9 0.5282828791657925
18 180 0.6053933557337076 1.7176523342078622 17493.2778 17542.5121 17861.7498 18230.8441 0.8054251801679311 4 0.696012633141831 9 0.5205679818289541
19 190 0.5921991464515489 1.7415971806788826 17493.2778 17855.6674 18259.8062 18372.2486 0.7963645809106198 4 0.6794775374328669 9 0.5077650099246404
20 200 0.599299666854539 1.75419176224672 17472.6998 17472.6998 18135.4042 18540.6887 0.7913612497666805 4 0.7029639415001797 9 0.5102512163881275
21 210 0.6510189857841525 1.7871626085077246 17472.6998 17664.538 18155.0606 18570.353 0.7859156210170974 4 0.7574754538617812 9 0.5520376390715762
22 220 0.682129839946949 1.7948163476875978 17472.6998 17560.9197 18070.4031 18639.0863 0.778952744324277 4 0.8005472623989038 9 0.5797658709569204
23 230 0.698515884306781 1.8085462686403437 17472.6998 17581.9642 18068.5606 18498.1874 0.7730687571308105 4 0.8107978325894375 9 0.5928066702403227
24 240 0.6101180223538498 1.8133758723087237 17310.6646 17310.6646 18106.7653 18791.6544 0.7625274637882131 4 0.6994932123349311 9 0.5145453708326236
25 250 0.5882845348582967 1.8181055354076738 17064.3933 17064.3933 17789.6692 18041.0595 0.7528137827012537 4 0.6678571052519752 9 0.4975322596867156
26 260 0.5452439917718526 1.8098234246165894 16956.8052 16956.8052 17711.9483 18324.4097 0.7465473671270747 4 0.6099487287112633 9 0.4546194676050405
27 270 0.5340537436381456 1.8048253104679002 16956.8052 17021.5762 17528.6965 18223.3974 0.7387833695920983 4 0.5904754687071786 9 0.4436888587421068
28 280 0.495772899765835 1.8112834742700166 16956.8052 17090.7264 17520.7956 18217.1875 0.7290514439313182 4 0.5454580346781367 9 0.40897317635492325
29 290 0.4316432787444745 1.8215351217050448 16912.5288 16912.5288 17522.1935 18205.6464 0.7195550497801428 4 0.4703049072413583 9 0.35147527332818884
30 300 0.41115665607648294 1.8239394214949278 16912.5288 16934.3154 17341.4784 18032.2696 0.7105668526333383 4 0.44722833065838696 9 0.3317651599852251
31 310 0.3938588663684237 1.8461288088417505 16870.8464 16870.8464 17390.3419 17684.1865 0.7015011444729806 4 0.4295088094298472 9 0.3135746620360337
